id,price,currency,rooms,area,location,city
6409214,538000,AZN,4,177.9,Gənclik,Bakı
6400464,4500,AZN,,450.0,Elmlər Akademiyası,Bakı
6048404,1800,AZN,4,129.0,Bakmil,Bakı
5892728,1800,AZN,6,120.0,Nəriman Nərimanov,Bakı
6447690,210000,AZN,2,54.0,Böyükşor,Bakı
6462242,118000,AZN,1,40.0,8 Noyabr,Bakı
6405099,452064,AZN,3,110.8,Nardaran,Bakı
6460084,479000,AZN,3,160.0,Şah İsmayıl Xətai,Bakı
6414988,285000,AZN,5,180.0,Fatmayı,Bakı
6331823,363702,AZN,3,105.4,Nardaran,Bakı
6458147,55000,AZN,3,75.0,Sabunçu,Bakı
6452231,210000,AZN,3,90.0,20 Yanvar,Bakı
6339960,300000,AZN,3,130.0,İnşaatçılar,Bakı
6073522,290000,AZN,3,105.0,20 Yanvar,Bakı
6460842,280000,AZN,5,148.0,Şüvəlan,Bakı
6089658,297000,AZN,3,100.0,Dərnəgül,Bakı
